Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
The Notorius BIG,Come On,Born Again,1999,society,life,storytelling,music,religion
The Notorius BIG,Love No Ho,Notorious,2009,society,life,storytelling,music,religion
Tupac,I'm Losin It (1),R U Still Down? (Remember Me),1997,society,life,storytelling,music,religion
Tupac,I'm Losin I,R U Still Down? (Remember Me),1997,society,life,storytelling,music,religion
"Tyler, the Creator",DEATHCAMP,Cherry Bomb,2015,society,life,storytelling,music,religion
Drake,U With Me?,Views,2016,society,music,storytelling,music,religion
Lil Wayne,Lil One,Lights Out,2000,society,music,storytelling,music,religion
Public Enemy,Check What You're Listening To,New Whirl Odor,2005,society,music,storytelling,music,religion
Snoop Dogg,I Luv I,Duces 'N Trayz - The Old Fashioned Way,2001,society,music,storytelling,music,religion
Busta Rhymes,No Worries,Catastrophic,2012,life,religion,storytelling,music,religion
Busta Rhymes,Busta Rhymes It Ain't Safe No More Hey Ladies,It Ain't Safe No More...,2002,life,society,storytelling,music,religion
Eminem,25 To Life,Recovery,2010,life,society,storytelling,music,religion
Eminem,Who Knew,The Marshall Mathers LP,2000,life,society,storytelling,music,religion
Jay-Z,Success,American Gangster,2007,life,society,storytelling,music,religion
Kanye West,My Way Home,Late Registration,2005,life,society,storytelling,music,religion
Lil Wayne,Bugatti,Dedication 5,2013,life,society,storytelling,music,religion
Lil Wayne,Don't Die,"Like Father, Like Son",2006,life,society,storytelling,music,religion
Nas,The Set Up,It Was Written,1996,life,society,storytelling,music,religion
Run the Jewels,Oh Mama,Run The Jewels 3,2016,life,society,storytelling,music,religion
Lil Wayne,Bitches Love Me (Good Kush &amp; Alcohol),I Am Not A Human Being II,2013,music,society,storytelling,music,religion
Snoop Dogg,Fruit Juice,Reincarnated,2013,society,society,storytelling,music,religion
Snoop Dogg,Tha Shizni,Doggystyle,1993,society,life,war,music,religion
Ice Cube,You Gotta Lotta Tha,"Laugh Now, Cry Later",2006,society,music,storytelling,mythology,religion
Tupac,Late Nigh,Better Dayz,2002,storytelling,society,biology,religion,religion
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service We The People,We Got It From Here... Thank You 4 Your Service,2016,society,storytelling,biology,religion,religion
Eric B & Rakim,Eric B Never Scared,Follow The Leader,1988,storytelling,society,life,religion,religion
Drake,Where To Now,Comeback Season,2007,society,storytelling,life,religion,religion
Snoop Dogg,Special,Malice N Wonderland,2009,society,storytelling,life,religion,religion
Jay-Z,Welcome To The Jungle,Watch The Throne,2011,society,life,storytelling,religion,religion
Run the Jewels,Sea Legs,Run The Jewels,2013,society,life,storytelling,religion,religion
Kanye West,Welcome To The Jungle,Watch The Throne,2011,life,society,storytelling,religion,religion
Lil Wayne,Curtains,I Am Not A Human Being II,2013,life,society,storytelling,religion,religion
Nas,The Outcome,Nastradamus,1999,life,society,biology,society,religion
Drake,Wednesday Night Interlude,If You're Reading This It's Too Late,2015,storytelling,society,biology,society,religion
Dr Dre,Light Speed,2001,1999,life,storytelling,biology,society,religion
Nas,NY State Of Mind Pt II,I Am,1999,storytelling,life,geography,society,religion
Ice Cube,Nothing Like LA,I Am The West,2010,storytelling,music,geography,society,religion
Public Enemy,Son Of A Bush,Revolverlution,2002,life,storytelling,government,society,religion
Lil Wayne,Ice Cream Paint Job,No Ceilings,2009,society,biology,life,society,religion
Jay-Z,Points Of Authority  99 Problems  One Step Closer,Collision Course,2004,life,music,life,society,religion
Ice Cube,"All Day, Every Day",I Am The West,2010,society,music,life,society,religion
Eminem,Cinderella Man,Recovery,2010,storytelling,music,life,society,religion
NWA,Dopeman (Remix),Straight Outta Compton,1988,storytelling,music,life,society,religion
Snoop Dogg,Oh Na Na,COOLAID,2016,culture,storytelling,life,society,religion
Tupac,I'm Gettin Money,R U Still Down? (Remember Me),1997,government,storytelling,life,society,religion
The Notorius BIG,Big Booty Hoes,Born Again,1999,music,storytelling,life,society,religion
Drake,Pound Cake  Paris Morton Music 2,Nothing Was The Same,2013,society,life,music,society,religion
Lil Wayne,Dipse,Da Drought 3,2007,storytelling,music,music,society,religion
Wu-Tang Clan,Drunk Tongue,Legendary Weapons,2011,storytelling,society,music,society,religion
Ice Cube,Ice Cube War &amp; Peace Vol 1: The War Disc Extradition,War &amp; Peace Vol. 1: The War Disc,1998,life,storytelling,music,society,religion
Drake,Uptown,So Far Gone,2009,society,storytelling,music,society,religion
Chance the Rapper,Finish Line  Drown,Coloring Book,2016,storytelling,life,society,society,religion
Nas,War,Street's Disciple,2004,life,storytelling,society,society,religion
The Notorius BIG,Rap Phenomenon,Born Again,1999,life,biology,storytelling,society,religion
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Hova Song (Outro),Vol. 3... Life And Times Of S. Carter,1999,music,biology,storytelling,society,religion
Coolio,Thought You Knew,It Takes A Thief,1994,music,life,storytelling,society,religion
Lil Wayne,Hands Up,Sorry 4 The Wait,2011,music,life,storytelling,society,religion
Lil Wayne,Sorry 4 The Wai,Sorry 4 The Wait,2011,music,life,storytelling,society,religion
LL Cool J,God Bless,Mr Smith,1995,music,life,storytelling,society,religion
Run the Jewels,Run The Jewels,Run The Jewels,2013,storytelling,life,storytelling,society,religion
Lil Wayne,I Miss My Dawgs,Tha Carter,2004,life,music,storytelling,society,religion
Snoop Dogg,Brake Fluid (Bitches Pump Yo Brakes),Tha Last Meal,2000,life,music,storytelling,society,religion
Snoop Dogg,Let's Go Study,Mac &amp; Devin Go To High School,2011,society,music,storytelling,society,religion
Lil Wayne,NO Nigga,Da Drought 3,2007,music,war,storytelling,society,religion
Tupac,I Ain't Mad At Cha,All Eyez On Me,1996,life,storytelling,war,society,religion
Tupac,I Ain't Mad At Cha,Greatest Hits,1998,life,storytelling,war,society,religion
Wu-Tang Clan,Dog Shi,Wu-Tang Forever,1997,music,biology,biology,storytelling,religion
Lil Wayne,Off Day,Tha Carter V,2017,music,life,biology,storytelling,religion
Tupac,Whatz Ne,Pac's Life,2006,society,life,biology,storytelling,religion
Tupac,Runnin' On E,Until The End Of Time (Disc One),2001,society,life,biology,storytelling,religion
Run the Jewels,Meowpurrdy (El-P Remix),Meow The Jewels,2015,society,music,biology,storytelling,religion
Slum Village,Slum Village Fan-Tas-Tic Vol 1 Beej N Dem,Fan-Tas-Tic Vol 1.,2005,society,music,biology,storytelling,religion
Public Enemy,He Got Game,He Got Game,1998,society,life,culture,storytelling,religion
Busta Rhymes,All Nigh,Anarchy,2000,music,society,culture,storytelling,religion
Snoop Dogg,Light It Up,COOLAID,2016,music,chemistry,geography,storytelling,religion
Kendrick Lamar,Far From Here,Kendrick Lamar,2009,society,life,geography,storytelling,religion
Eminem,We As Americans,Encore,2004,society,life,government,storytelling,religion
Eminem,We As Americans,Straight From The Lab,2003,society,life,government,storytelling,religion
Lil Wayne,Brand New,The Drought Is Over Part 4,2007,music,society,government,storytelling,religion
Kendrick Lamar,HOC,Overly Dedicated,2010,society,biology,life,storytelling,religion
Slum Village,Slum Village Fan-Tas-Tic Vol 1 Give This Nigga,Fan-Tas-Tic Vol 1.,2005,society,geography,life,storytelling,religion
Busta Rhymes,Real Niggas,The Return Of The Dragon: The Abstract Went On Vacation,2015,society,government,life,storytelling,religion
Busta Rhymes,Rhymes Galore,When Disaster Strikes,1997,society,music,life,storytelling,religion
Coolio,U Know Hoo!,It Takes A Thief,1994,society,music,life,storytelling,religion
Eminem,Doe Ray Me,Straight From The Lab,2003,society,music,life,storytelling,religion
Lil Wayne,Marvin's Room,Sorry 4 The Wait,2011,society,music,life,storytelling,religion
Lil Wayne,Feel Me,Tha Carter II,2005,society,music,life,storytelling,religion
Lil Wayne,Tha Mobb,Tha Carter II,2005,society,music,life,storytelling,religion
LL Cool J,Rocking With The GOAT,Exit 13,2008,society,music,life,storytelling,religion
"Tyler, the Creator",Window,Goblin,2011,society,music,life,storytelling,religion
Drake,Live From The Gutter,What A Time To Be Alive,2015,music,society,life,storytelling,religion
Tupac,Lord Knows,Me Against The World,1995,society,storytelling,life,storytelling,religion
Jay-Z,What They Gonna Do Part II,The Blueprint 2: The Gift &amp; The Curse,2002,society,life,math,storytelling,religion
Jay-Z,What They Gonna Do,The Blueprint 2: The Gift &amp; The Curse,2002,life,society,math,storytelling,religion
Dr Dre,Darkside  Gone,Compton,2015,society,life,music,storytelling,religion
Dr Dre,Issues,Compton,2015,society,life,music,storytelling,religion
Drake,Do Not Disturb,More Life,2017,society,life,music,storytelling,religion
Eminem,White America,The Eminem Show,2002,society,life,music,storytelling,religion
LL Cool J,LL Cool J GOAT (Greatest Of All Time) Back Where I Belong,G.O.A.T. (Greatest Of All Time),2000,society,life,music,storytelling,religion
Public Enemy,Ain'tnuttin Buttersong,Muse Sick-N-Hour Mess Age,1994,society,life,music,storytelling,religion
Public Enemy,41:19:00,There's A Poison Goin On,1999,society,life,music,storytelling,religion
The Notorius BIG,I Got A Story To Tell,Life After Death,1997,society,life,music,storytelling,religion
Tupac,Against All Odds,Makaveli - The Don Killuminati: The 7 Day Theory,1996,society,life,music,storytelling,religion
Wu-Tang Clan,Can It Be All So Simple,Enter The Wu-Tang (36 Chambers),1993,society,life,music,storytelling,religion
De La Soul,U Don't Wanna BDS,Art Official Intelligence: Mosaic Thump,2000,society,music,music,storytelling,religion
De La Soul,My Brother's A Basehead,De La Soul Is Dead,1991,life,society,music,storytelling,religion
Kendrick Lamar,Kendrick Lamar Untitled Unmastered Untitled 02 L 06232014,Untitled Unmastered.,2016,life,society,music,storytelling,religion
Wu-Tang Clan,Radiant Jewels,Wu-Tang Chamber Music,2009,life,society,music,storytelling,religion
Tupac,Lil' Homies,Until The End Of Time (Disc One),2001,music,life,society,storytelling,religion
Snoop Dogg,(Intro) I Love To Give You Ligh,R &amp; G (Rhythm &amp; Gangsta): The Masterpiece,2004,storytelling,life,society,storytelling,religion
Tupac,Po Nigga Blues (Scott Storch Remix),Loyal To The Game,2004,life,music,society,storytelling,religion
Busta Rhymes,We Got What You Wan,Genesis,2001,music,music,society,storytelling,religion
Jay-Z,Jay-Z In My Lifetime Vol 1 I Know What Girls Like,In My Lifetime Vol. 1,1997,society,biology,storytelling,storytelling,religion
Dr Dre,The Watcher,2001,1999,society,life,storytelling,storytelling,religion
Jay-Z,Jay-Z Vol 2  Hard Knock Life A Week Ago,Vol. 2... Hard Knock Life,1998,life,society,storytelling,storytelling,religion
Busta Rhymes,As I Come Back,Genesis,2001,music,society,storytelling,storytelling,religion
Ice Cube,Enemy,Lethal Injection,1993,storytelling,society,music,war,religion
Snoop Dogg,Doggy Dogg World,Doggystyle,1993,society,storytelling,music,war,religion
Wu-Tang Clan,Got's Like Come On Thru,Wu-Chronicles: Chapter II,2001,society,storytelling,music,war,religion
Dr Dre,Ed-ucation,2001,1999,society,life,storytelling,war,religion
De La Soul,De La Soul Smell The DaISY Goes With The Word,Smell The Da.I.S.Y.,2014,society,storytelling,music,culture,revolution
2 Live Crew,2 Live Crew Banned in the USA Mamalopenga,Banned in the U.S.A.,1990,storytelling,life,biology,geography,revolution
Jay-Z,Jay-Z Magna Carta Holy Grail Oceans,Magna Carta... Holy Grail,2013,society,storytelling,life,geography,revolution
Public Enemy,Icebreaker,The Evil Empire Of Everything,2012,society,government,storytelling,government,revolution
Beastie Boys,Right Right Now Now,To The 5 Boroughs,2004,society,music,culture,life,revolution
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service Black Spasmodic,We Got It From Here... Thank You 4 Your Service,2016,storytelling,society,life,life,revolution
Eminem,Yellow Brick Road,Encore,2004,society,storytelling,life,life,revolution
Eminem,"Monkey See, Monkey Do",Straight From The Lab,2003,society,life,music,life,revolution
Beastie Boys,Ok,Hot Sauce Committee Part Two,2011,society,storytelling,music,life,revolution
Lil Wayne,Knockou,Rebirth,2010,life,storytelling,society,life,revolution
Ice Cube,Cave Bitch,Lethal Injection,1993,music,storytelling,society,life,revolution
Beastie Boys,An Open Letter To NYC,To The 5 Boroughs,2004,geography,society,storytelling,life,revolution
Eminem,W.E.G.O. (Interlude),Infinite,1996,music,society,government,music,revolution
Eminem,WEGO (Interlude),Infinite,1996,music,society,government,music,revolution
Outkast,Greatest Show On Earth,Idlewild,2006,storytelling,music,life,music,revolution
Tupac,Young Black Male,2Pacalypse Now,1991,society,biology,storytelling,religion,revolution
Ice Cube,Death,Death Certificate,1991,biology,society,storytelling,religion,revolution
Dr Dre,Rat-Tat-Tat-Ta,The Chronic,1992,geography,music,storytelling,society,revolution
Drake,Jersey,What A Time To Be Alive,2015,life,society,government,storytelling,revolution
Ice Cube,The Birth,Death Certificate,1991,life,biology,life,storytelling,revolution
Public Enemy,Pollywanacraka,Fear Of A Black Planet,1990,life,society,music,storytelling,revolution
Run-DMC,For 10 Years,Down With The King,1993,government,society,life,war,revolution
Public Enemy,And No One Broadcasted Louder Than (Intro),New Whirl Odor,2005,music,society,war,war,revolution
Nas,2nd Childhood,Stillmatic,2001,life,storytelling,biology,art,society
Ice Cube,Color Blind,Death Certificate,1991,society,storytelling,life,art,society
Wu-Tang Clan,Miracle,A Better Tomorrow,2014,life,storytelling,society,art,society
Jay-Z,Primetime[Deluxe Edition Bonus Track],Watch The Throne,2011,life,religion,storytelling,art,society
Kanye West,Primetime[Deluxe Edition Bonus Track],Watch The Throne,2011,life,religion,storytelling,art,society
Busta Rhymes,Just Give It To Me Raw,Extinction Level Event,1998,storytelling,life,biology,biology,society
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 Execute Them","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,society,meanings,biology,biology,society
Beastie Boys,Egg Man,Paul's Boutique,1989,life,storytelling,biology,biology,society
Drake,Must Hate Money,Comeback Season,2007,storytelling,government,government,biology,society
Wu-Tang Clan,The Business (Interlude),Legendary Weapons,2011,biology,government,life,biology,society
Snoop Dogg,Dev's Song[Bonus Track],Mac &amp; Devin Go To High School,2011,storytelling,life,life,biology,society
Wu-Tang Clan,A Better Tomorrow,Wu-Tang Forever,1997,storytelling,society,life,biology,society
Lil Wayne,Lock And Load,Tha Carter II,2005,life,storytelling,life,biology,society
Public Enemy,What A Fool Believes,New Whirl Odor,2005,religion,storytelling,life,biology,society
Busta Rhymes,Busta Rhymes It Ain't Safe No More What Do You Do When You're Branded,It Ain't Safe No More...,2002,society,storytelling,life,biology,society
Chance the Rapper,Long Time II,10 Day,2012,society,storytelling,life,biology,society
Kanye West,I'm In I,Yeezus,2013,society,storytelling,life,biology,society
Outkast,Mainstream,ATLiens,1996,society,storytelling,life,biology,society
Snoop Dogg,Kush Ups,COOLAID,2016,society,life,music,biology,society
Lil Wayne,A Dedication,Dedication 3,2008,storytelling,life,music,biology,society
Tupac,Something Wicked,2Pacalypse Now,1991,storytelling,meanings,music,biology,society
Run-DMC,Papa Crazy,Tougher Than Leather,1988,life,music,music,biology,society
De La Soul,Intro (Stakes Is High),Stakes Is High,1996,storytelling,society,music,biology,society
De La Soul,Supa Emcees,Stakes Is High,1996,society,storytelling,music,biology,society
Beastie Boys,So What'cha Wan,Check Your Head,1992,society,war,music,biology,society
Eminem,Survival,The Marshall Mathers LP 2,2013,society,life,religion,biology,society
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service Lost Somebody,We Got It From Here... Thank You 4 Your Service,2016,storytelling,life,society,biology,society
Drake,Houstatlantavegas,So Far Gone,2009,storytelling,music,society,biology,society
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 Where Was Heaven","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,life,storytelling,society,biology,society
Nas,Undying Love,I Am,1999,life,biology,storytelling,biology,society
Dr Dre,Genocide,Compton,2015,government,life,storytelling,biology,society
Lil Wayne,Same Damn Tune,Dedication 4,2012,music,life,storytelling,biology,society
Beastie Boys,Putting Shame In Your Game,Hello Nasty,1998,society,life,storytelling,biology,society
Busta Rhymes,Busta Rhymes It Ain't Safe No More The Struggle Will Be Los,It Ain't Safe No More...,2002,society,life,storytelling,biology,society
Lil Wayne,Let's Talk,The Drought Is Over 2 (Carter 3 Sessions),2007,society,life,storytelling,biology,society
Nas,Bye Baby,Life Is Good,2012,society,life,storytelling,biology,society
Nas,Drunk By Myself,The Lost Tapes,2002,society,life,storytelling,biology,society
Slum Village,The World Is Yours,Dirty Slums 2,2013,society,life,storytelling,biology,society
Run the Jewels,36&quot; Chain,Run The Jewels,2013,life,music,storytelling,biology,society
Lil Wayne,Interlude #1,No Ceilings,2009,music,music,storytelling,biology,society
The Notorius BIG,Ten Crack Commandments,Life After Death,1997,society,music,storytelling,biology,society
Kendrick Lamar,The Blacker The Berry,To Pimp A Butterfly,2015,society,revolution,storytelling,biology,society
LL Cool J,Father,Phenomenon,1997,life,society,storytelling,biology,society
Nas,NIGGER (The Slave And The Master),Untitled,2008,life,society,storytelling,biology,society
Outkast,Chronomentrophobia,Idlewild,2006,life,society,storytelling,biology,society
"Tyler, the Creator",Fish,Goblin,2011,life,society,storytelling,biology,society
Beastie Boys,Namaste,Check Your Head,1992,society,geography,biology,chemistry,society
Lil Wayne,Fireman,Tha Carter II,2005,society,music,life,chemistry,society
"Tyler, the Creator",Analog,Goblin,2011,society,religion,culture,culture,society
Beastie Boys,Skills To Pay The Bills[Japanese Bonus Track],Check Your Head,1992,life,music,government,culture,society
Chance the Rapper,Summer Friends,Coloring Book,2016,storytelling,biology,life,culture,society
De La Soul,Stakes Is High,Stakes Is High,1996,storytelling,society,life,culture,society
Tupac,Hennessey (Red Spyda Remix),Loyal To The Game,2004,storytelling,life,music,culture,society
Snoop Dogg,Trust Me,No Limit Top Dogg,1999,storytelling,society,music,culture,society
Drake,6 Man,If You're Reading This It's Too Late,2015,storytelling,life,society,culture,society
Snoop Dogg,Ball Til We Ball,That's My Work 2,2013,music,life,storytelling,culture,society
Slum Village,Slum Village Fan-Tas-Tic Vol 1 Fantastic 4,Fan-Tas-Tic Vol 1.,2005,geography,society,storytelling,culture,society
Kanye West,Who Will Survive In America,My Beautiful Dark Twisted Fantasy,2010,life,storytelling,biology,geography,society
LL Cool J,A Little Somethin',14 Shots To The Dome,1993,storytelling,music,culture,geography,society
LL Cool J,Farmers Blvd (Our Anthem),Mama Said Knock You Out,1990,storytelling,music,life,geography,society
Wu-Tang Clan,Jah World,The W,2000,storytelling,religion,life,geography,society
Tupac,Words Of Wisdom,2Pacalypse Now,1991,storytelling,life,society,geography,society
Kanye West,Crack Music,Late Registration,2005,geography,music,society,geography,society
Chance the Rapper,Cocoa Butter Kisses,Acid Rap,2013,society,society,storytelling,geography,society
Run-DMC,Rock Show,Crown Royal,2001,music,music,biology,government,society
Lil Wayne,Who Wanna,Tha Carter,2004,storytelling,music,biology,government,society
Busta Rhymes,Party Is Goin On Over Here,Extinction Level Event,1998,society,life,culture,government,society
Busta Rhymes,Proper Leaders (Skit),The Return Of The Dragon: The Abstract Went On Vacation,2015,society,government,life,government,society
Wu-Tang Clan,Hip Hop Fury,Wu-Chronicles: Chapter II,2001,music,storytelling,life,government,society
LL Cool J,Dear Hip Hop,Exit 13,2008,society,storytelling,life,government,society
Run-DMC,It's Tricky,Raising Hell,1986,biology,music,meanings,government,society
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 Secretary","Lil Weezy Ana, Vol.1",2006,society,storytelling,music,government,society
Outkast,Synthesizer,Aquemini,1998,society,storytelling,music,government,society
Nas,Count Your Blessings,Distant Relatives,2010,storytelling,life,mythology,government,society
Run-DMC,My Adidas,Raising Hell,1986,life,biology,society,government,society
Eminem,3:00 AM,Relapse,2009,storytelling,life,society,government,society
Public Enemy,Super Agen,He Got Game,1998,culture,chemistry,storytelling,government,society
Eric B & Rakim,No Competition,Follow The Leader,1988,society,culture,biology,life,society
Dr Dre,The Roach (The Chronic Outro),The Chronic,1992,society,religion,biology,life,society
Eminem,Role Model,Slim Shady LP,1999,life,society,biology,life,society
Outkast,Wheelz of Steel,ATLiens,1996,life,storytelling,biology,life,society
Snoop Dogg,Feel Like Heaven,That's My Work 3,2014,society,storytelling,biology,life,society
Wu-Tang Clan,Soul Power (Black Jungle),Iron Flag,2001,storytelling,music,chemistry,life,society
Outkast,Funky Ride,Southernplayalisticadillacmuzik,1994,storytelling,music,culture,life,society
De La Soul,Pawn Star,AOI: Bionix,2001,storytelling,life,geography,life,society
"Tyler, the Creator",Slater,Wolf,2013,music,storytelling,geography,life,society
Nas,Friends,Distant Relatives,2010,society,storytelling,geography,life,society
Snoop Dogg,Because I'm Black,That's My Work 2,2013,society,storytelling,government,life,society
Outkast,Player's Ball (Original Version),Southernplayalisticadillacmuzik,1994,society,life,life,life,society
Busta Rhymes,Get You Some,The Big Bang,2006,society,music,life,life,society
De La Soul,You Go Dave (A Goldblatt Presentation),And The Anonymous Nobody,2016,society,music,life,life,society
Nas,Life's A Bitch,Illmatic,1994,society,music,life,life,society
Wu-Tang Clan,Rollin',Killa Beez: The Sting,2002,storytelling,music,life,life,society
Nas,Thugz Mansion (Nas Acoustic),God's Son,2002,storytelling,society,life,life,society
De La Soul,Greyhounds,And The Anonymous Nobody,2016,society,storytelling,life,life,society
Lil Wayne,Look At Me,500 Degreez,2002,society,storytelling,life,life,society
Nas,Project Roach,Untitled,2008,society,storytelling,life,life,society
Ice Cube,Horny Little Devil,Death Certificate,1991,storytelling,storytelling,life,life,society
Wu-Tang Clan,Spend Money,Killa Beez: The Sting,2002,society,government,math,life,society
Lil Wayne,High,"Like Father, Like Son",2006,music,biology,music,life,society
Snoop Dogg,Edibles,Bush,2015,society,government,music,life,society
Lil Wayne,Presiden,Da Drought 3,2007,storytelling,life,music,life,society
Busta Rhymes,Cash Money  Young Mula (1),Catastrophic,2012,music,society,music,life,society
Busta Rhymes,Cash Money  Young Mula,Catastrophic,2012,music,society,music,life,society
Jay-Z,Run This Town,The Blueprint 3,2009,storytelling,society,music,life,society
Drake,Faded,Comeback Season,2007,mythology,storytelling,music,life,society
Drake,Miss Me,Thank Me Later,2010,society,storytelling,music,life,society
Kanye West,Late[Hidden Track],Late Registration,2005,society,storytelling,music,life,society
Eminem,Just Don't Give A Fuck,Slim Shady EP,1998,storytelling,life,religion,life,society
Eminem,Just Don't Give A Fuck,Slim Shady LP,1999,storytelling,life,religion,life,society
Kendrick Lamar,For Free? (Interlude),To Pimp A Butterfly,2015,society,religion,religion,life,society
Jay-Z,Jay-Z In My Lifetime Vol 1 Rap Game  Crack Game,In My Lifetime Vol. 1,1997,music,society,religion,life,society
Lil Wayne,London Roads,Free Weezy Album,2015,storytelling,society,religion,life,society
Kendrick Lamar,Kendrick Lamar Section80 Fuck Your Ethnicity,Section.80,2011,society,storytelling,religion,life,society
Snoop Dogg,Gin And Juice,Doggystyle,1993,music,society,society,life,society
Outkast,"So Fresh, So Clean",Stankonia,2000,storytelling,society,society,life,society
The Notorius BIG,Hustler's Story,Duets: The Final Chapter,2005,life,storytelling,society,life,society
Wu-Tang Clan,Wu-Tang Clan Dreddy Kruger Presents Think Differently Music: Wu-tang Meets The Indie Culture Slow Blues,Dreddy Kruger Presents... Think Differently Music: Wu-tang Meets The Indie Culture,2005,music,storytelling,society,life,society
Coolio,Can-O-Corn,It Takes A Thief,1994,society,storytelling,society,life,society
Drake,Hotline Bling[Bonus Track],Views,2016,society,storytelling,society,life,society
Jay-Z,U Don't Know,The Blueprint,2001,society,government,storytelling,life,society
Lil Wayne,Stuntin' Like My Daddy,"Like Father, Like Son",2006,war,government,storytelling,life,society
Jay-Z,Venus Vs Mars,The Blueprint 3,2009,life,life,storytelling,life,society
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter There's Been A Murder,Vol. 3... Life And Times Of S. Carter,1999,society,life,storytelling,life,society
Lil Wayne,Cashed Ou,Dedication 4,2012,life,music,storytelling,life,society
A Tribe Called Quest,Like It Like Tha,The Love Movement,1998,society,music,storytelling,life,society
Lil Wayne,Fuck You,500 Degreez,2002,music,religion,storytelling,life,society
Public Enemy,Too Much Posse,Yo! Bum Rush The Show,1987,life,society,storytelling,life,society
The Notorius BIG,Juicy,Notorious,2009,society,storytelling,storytelling,life,society
The Notorius BIG,Juicy,Ready To Die,1994,society,storytelling,storytelling,life,society
Snoop Dogg,Affiliated (1),COOLAID,2016,life,storytelling,war,life,society
Snoop Dogg,Affiliated,COOLAID,2016,life,storytelling,war,life,society
Snoop Dogg,Pass It Pass I,R &amp; G (Rhythm &amp; Gangsta): The Masterpiece,2004,music,geography,life,math,society
A Tribe Called Quest,After Hours,People's Instinctive Travels and the Paths of Rhythm,1990,society,storytelling,life,math,society
Beastie Boys,Here's A Little Somethin' For Ya,Hot Sauce Committee Part Two,2011,society,storytelling,life,math,society
De La Soul,Words From The Chief Rocker,Art Official Intelligence: Mosaic Thump,2000,music,society,music,math,society
Wu-Tang Clan,Iron Flag,Iron Flag,2001,society,storytelling,music,math,society
De La Soul,Do As De La Does,3 Feet High And Rising,1989,society,music,culture,meanings,society
Nas,Y'all My Niggas,Untitled,2008,life,society,storytelling,meanings,society
Snoop Dogg,My Medicine,Ego Trippin',2008,government,storytelling,music,medicine,society
Wu-Tang Clan,Necklace,A Better Tomorrow,2014,storytelling,biology,biology,music,society
Jay-Z,Can I Live,Reasonable Doubt,1996,society,life,biology,music,society
Lil Wayne,Help,The Drought Is Over 2 (Carter 3 Sessions),2007,society,life,biology,music,society
Public Enemy,Megablas,Yo! Bum Rush The Show,1987,storytelling,life,biology,music,society
Slum Village,Slum Village Fan-Tas-Tic Vol 1 Pregnant (Baatin),Fan-Tas-Tic Vol 1.,2005,life,storytelling,biology,music,society
Snoop Dogg,G Bedtime Stories,No Limit Top Dogg,1999,life,storytelling,biology,music,society
Eminem,Lounge (Skit),Slim Shady LP,1999,meanings,storytelling,biology,music,society
LL Cool J,Straight From Queens,14 Shots To The Dome,1993,music,storytelling,biology,music,society
Beastie Boys,It Takes Time To Build,To The 5 Boroughs,2004,society,storytelling,biology,music,society
De La Soul,De La Soul The Impossible: Mission TV Series: Pt 1 Reverse Ya Steps,The Impossible: Mission TV Series: Pt. 1,2006,life,storytelling,culture,music,society
Lil Wayne,Weezy Baby,Tha Carter II,2005,life,storytelling,culture,music,society
Snoop Dogg,Game Of Life,"The Game Is To Be Sold, Not To Be Told",1998,life,storytelling,culture,music,society
Nas,Hustlers,Hip Hop Is Dead,2006,storytelling,life,geography,music,society
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service Solid Wall Of Sound,We Got It From Here... Thank You 4 Your Service,2016,music,society,geography,music,society
Run-DMC,Here We Go 2001,Crown Royal,2001,music,storytelling,geography,music,society
Lil Wayne,Beef (1),Lights Out,2000,storytelling,biology,government,music,society
Lil Wayne,Beef,Lights Out,2000,storytelling,biology,government,music,society
Tupac,If I Die 2Nite,Me Against The World,1995,storytelling,life,government,music,society
Jay-Z,Nigga Please,The Blueprint 2: The Gift &amp; The Curse,2002,life,storytelling,government,music,society
Jay-Z,Mo' Money,Unfinished Business,2004,society,storytelling,government,music,society
Lil Wayne,Break Up,No Ceilings,2009,life,biology,life,music,society
Lil Wayne,Romance,I Am Not A Human Being II,2013,storytelling,culture,life,music,society
Busta Rhymes,Hot Shit Makin' Ya Bounce,Extinction Level Event,1998,math,music,life,music,society
De La Soul,This Is A Recording For Living In A Fulltime Era (LIFE),3 Feet High And Rising,1989,society,music,life,music,society
Eminem,Encore  Curtains Down,Encore,2004,society,music,life,music,society
Snoop Dogg,Buck 'Em,No Limit Top Dogg,1999,government,religion,life,music,society
LL Cool J,I'm About To Get Her,The DEFinition,2004,music,society,life,music,society
Beastie Boys,Johnny Ryall,Paul's Boutique,1989,storytelling,society,life,music,society
